Launching LogDate version 1.2.1
Objective function: wLogDate
Finished initialization with random seed 171
Initial state:
mu = 0.0010304883384318012
fx = 199.396094452461
Maximum constraint violation: 1.9081958235744878e-17
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  | penalty  |barrier param|CG stop|
|  67   |  65   |  566  | +9.0227e+01 | 7.06e+01 | 2.15e-05 | 1.52e-17 | 1.00e+00 |  4.00e-03   |   4   |
|  68   |  66   |  569  | +9.0227e+01 | 7.06e+01 | 3.97e-06 | 2.65e-17 | 1.00e+00 |  4.00e-03   |   4   |
|  69   |  66   |  569  | +9.0227e+01 | 3.53e+02 | 1.96e-04 | 2.65e-17 | 1.00e+00 |  8.00e-04   |   0   |
|  70   |  67   |  571  | +9.0124e+01 | 3.53e+02 | 4.75e-05 | 2.97e-16 | 1.00e+00 |  8.00e-04   |   4   |
|  71   |  68   |  574  | +9.0118e+01 | 3.53e+02 | 2.40e-05 | 6.94e-17 | 1.00e+00 |  8.00e-04   |   4   |
|  72   |  69   |  576  | +9.0117e+01 | 3.53e+02 | 5.43e-06 | 1.56e-17 | 1.00e+00 |  8.00e-04   |   4   |
|  73   |  69   |  576  | +9.0117e+01 | 1.76e+03 | 3.81e-05 | 1.56e-17 | 1.00e+00 |  1.60e-04   |   0   |
|  74   |  70   |  578  | +9.0113e+01 | 1.76e+03 | 8.29e-06 | 2.43e-17 | 1.00e+00 |  1.60e-04   |   4   |
|  75   |  71   |  581  | +9.0112e+01 | 1.76e+03 | 4.79e-06 | 1.73e-17 | 1.00e+00 |  1.60e-04   |   4   |
|  76   |  72   |  583  | +9.0112e+01 | 1.76e+03 | 7.76e-07 | 1.47e-17 | 1.00e+00 |  1.60e-04   |   4   |
|  77   |  72   |  583  | +9.0112e+01 | 8.82e+03 | 7.64e-06 | 1.47e-17 | 1.00e+00 |  3.20e-05   |   0   |
|  78   |  73   |  585  | +9.0112e+01 | 8.82e+03 | 1.96e-06 | 1.91e-17 | 1.00e+00 |  3.20e-05   |   4   |
|  79   |  74   |  588  | +9.0112e+01 | 8.82e+03 | 1.20e-06 | 1.39e-17 | 1.00e+00 |  3.20e-05   |   4   |
|  80   |  75   |  590  | +9.0112e+01 | 8.82e+03 | 2.32e-07 | 1.43e-17 | 1.00e+00 |  3.20e-05   |   4   |
|  81   |  75   |  590  | +9.0112e+01 | 4.41e+04 | 1.52e-06 | 1.43e-17 | 1.00e+00 |  6.40e-06   |   0   |
|  82   |  76   |  592  | +9.0112e+01 | 4.41e+04 | 3.36e-07 | 1.56e-17 | 1.00e+00 |  6.40e-06   |   4   |
|  83   |  77   |  595  | +9.0112e+01 | 4.41e+04 | 2.01e-07 | 1.21e-17 | 1.00e+00 |  6.40e-06   |   4   |
|  84   |  78   |  597  | +9.0112e+01 | 4.41e+04 | 3.49e-08 | 1.65e-17 | 1.00e+00 |  6.40e-06   |   4   |
|  85   |  79   |  600  | +9.0112e+01 | 4.41e+04 | 7.77e-09 | 1.30e-17 | 1.00e+00 |  6.40e-06   |   4   |

`gtol` termination condition is satisfied.
Number of iterations: 85, function evaluations: 79, CG iterations: 600, optimality: 7.77e-09, constraint violation: 1.30e-17, execution time:  3.7 s.
Found local optimal for Initial point 1
Found a better log-scored configuration
New mutation rate: 0.0009364554594077047
New log score: 90.11222613455747
Time tree
